"DroppedVar" "Cn" "pValue"
"1" "- TMAX" 0.132309143847107 0
"2" "- ELEVATION" 0.1570965903801 0
"3" "- TempAnomaly" 0.174282338398956 5.15970115468601e-253
"4" "- del_TT_Deg_Celsius" 0.212079388017804 1.11816613704947e-78
"5" "- v_wind_850" 0.239293503473498 4.17437127118764e-10
"6" "- Nino34" 0.240032349626273 9.82159212091072e-09
"7" "- SolarFlux" 0.241129950003675 2.23770315744742e-07
"8" "- POL" 0.241443408661216 1.81153879488224e-07
"9" "- EPNP" 0.241635955125789 2.79704359124007e-07
"10" "- X120W" 0.241982538366991 5.86574573778073e-08
"11" "- LONGITUDE" 0.242540097667464 2.61833545241285e-06
"12" "- TNH" 0.243552393553019 1.41546682973104e-05
"13" "- u_wind_850" 0.245679218772303 0.00114737105357427
"14" "- EA" 0.245735208267932 0.00118655295412835
"15" "- u_wind_600" 0.247795868057547 0.0175019650040486
"16" "- LATITUDE" 0.248708125655783 0.045865663389041
"17" "- DMI" 0.250417901523619 0.212567860104318
"18" "- u_wind_200" 0.251137957291118 0.352225075834195
"19" "- NAO" 0.252449495067372 0.722264978181659
"20" "- WP" 0.252690232133569 0.797949204705943
"21" "<none>" 0.253294304199649 1
"22" "- TMIN" 0.253341993923447 0.984042115425264
"23" "- X160E" 0.253548469016598 0.910865157729956
"24" "- EAWR" 0.253726172391525 0.856351396244397
"25" "- v_wind_600" 0.253769097827263 0.842906309505082
"26" "- X20E" 0.254011433881675 0.753477824416586
"27" "- v_wind_200" 0.254348094250909 0.659564603283315
"28" "- PNA" 0.254935282496477 0.490269350724833
"29" "- X140E" 0.255232440139477 0.410582720909859
"30" "- SCA" 0.259582085792725 0.0075157965665165
"31" "- X70E" 0.260597822479877 0.00201212954277338
"32" "- X40W" 0.261242817802087 0.00081901375586012
"33" "- X120E" 0.262524148607305 0.000137509823670091
"34" "- X100E" 0.263512353000711 2.00233892288496e-05
"35" "- X10W" 0.264387181490453 3.79524867009094e-06
"36" "- X80E" 0.272244426065753 6.16910626505928e-15
