"x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10" "x11" "x12" "x13" "x14" "x15" "x16" "x17" "x18" "x19" "x20" "x21" "x22" "x23" "x24" "x25" "y"
5.925 6.512 6.883 5.157 6.42 5.833 5.356 6.626 5.73 6.108 4.817 6.106 6.613 4.821 6.296 5.449 6.425 6.705 5.564 7.154 6.466 6.309 5.407 5.915 5.119 42.799
4.565 3.638 4.378 5.056 3.165 4.598 4.576 4.171 4.259 4.443 5.582 5.713 5.069 4.247 4.548 4.125 4.196 4.8 4.163 5.636 3.931 4.612 4.097 5.638 5.616 30.372
5.436 5.501 6.596 4.476 4.992 5.524 6.235 5.402 5.465 5.568 5.041 5.865 5.021 4.912 4.832 5.227 4.853 5.314 5.032 5.147 4.931 5.334 4.575 4.973 5.296 36.338
4.912 5.849 6.545 5.715 4.668 5.259 5.786 5.07 5.499 4.64 6.332 4.854 6.128 6.412 4.22 5.327 6.057 5.68 5.285 5.285 5.038 4.555 5.403 6.024 5.865 36.63
5.696 6.33 5.279 5.017 4.229 5.769 4.468 4.771 6.062 5.495 3.371 5.448 6.347 5.375 5.753 4.838 5.409 4.56 5.536 6.377 5.452 5.438 4.65 5.502 5.117 38.275
4.009 4.584 4.22 6.463 5.511 4.917 5.92 3.492 3.219 5.073 5.202 4.743 5.04 5.077 4.727 4.788 6.017 5.383 4.709 4.771 4.53 5.335 4.399 5.172 5.785 37.413
5.864 5.675 5.275 6.006 7.409 4.989 4.605 6.399 7.065 5.274 6.416 5.148 5.971 6.684 6.873 7.124 7.018 5.381 6.528 6.486 5.831 6.736 6.825 5.056 5.611 34.744
4.826 4.287 4.072 4.656 4.523 4.044 6.071 4.676 4.916 4.881 4.861 5.514 4.698 5.797 4.477 4.926 5.386 5.923 6.188 4.818 4.559 3.73 5.102 4.902 5.461 31.107
5.874 6.294 6.184 5.127 6.808 6.696 6.797 5.742 7.878 5.906 6.326 5.675 4.939 6.207 6.593 8.811 6.231 6.029 6.554 6.199 7.5 7.156 7.448 6.569 5.845 42.487
4.572 4.912 4.931 4.584 5.279 4.544 4.737 5.813 4.727 7.199 5.594 5.23 4.836 4.928 5.376 4.315 5.144 5.715 4.842 4.895 4.293 4.953 3.956 4.733 3.763 38.149
7.099 6.581 4.832 6.531 5.925 4.276 4.523 5.992 6.372 6.309 5.394 5.238 6.347 6.261 5.754 6.839 5.297 6.138 6.25 5.782 6.075 6.288 6.829 5.584 6.007 42.413
6.397 7.267 6.15 6.052 6.504 6.79 6.333 5.514 6.052 5.829 6.942 7.878 4.608 6.926 7.331 6.788 7.199 5.543 8.215 6.535 6.585 8.155 7.132 6.449 7.046 42.043
3.951 4.112 3.347 4.636 3.399 4.314 5.229 4.655 3.365 3.372 3.049 4.352 3.58 3.536 3.252 3.408 4.325 3.244 5.554 3.782 4.339 5.129 4.48 3.917 3.634 30.965
4.646 4.789 3.768 5.752 4.49 5.509 5.017 5.183 4.382 4.362 4.797 4.1 4.224 4.709 5.347 4.349 4.464 5.645 4.476 4.724 5.89 4.002 5.032 5.139 5.177 33.989
4.243 5.008 5.47 4.684 5.577 5.157 5.547 5.726 4.776 4.493 4.16 5.512 4.844 3.994 5.331 4.566 4.705 4.721 3.784 4.6 5.59 4.24 5.986 4.182 5.702 36.298
5.293 5.953 5.157 4.835 4.321 4.582 6.365 6.02 5.225 5.041 7.33 5.768 5.428 6.198 5.589 4.435 4.966 6.258 5.108 5.418 5.763 5.671 6.251 4.566 4.925 36.714
4.665 4.972 4.323 4.745 4.262 5.487 4.662 3.266 4.867 4.82 4.53 4.362 3.339 4.507 5.189 5.599 4.506 5.285 5.094 5.004 5.485 4.799 4.504 4.492 7.112 36.726
3.873 4.755 3.981 2.604 2.415 0.899 3.731 4.327 3.618 2.978 2.103 2.786 3.156 3.523 1.097 2.368 2.458 3.526 1.992 3.149 3.017 4.208 3.387 3.1 4.059 28.511
