 PENTAD       20E      70E      80E     100E     120E     140E     160E     120W      40W      10W
19780103     1.28     0.73     0.54    -0.16    -0.77    -1.22    -1.09    -0.34     0.38     1.01
19780108     0.82     1.39     1.34     1.10     0.57    -0.26    -1.18    -1.36    -0.99    -0.27
19780113    -0.65     0.33     0.60     1.03     1.18     0.96     0.14    -0.69    -1.10    -1.17
19780118    -0.67    -1.78    -1.70    -1.73    -1.25    -0.20     1.25     1.88     1.68     0.88
19780123     1.33    -0.69    -1.12    -2.12    -2.50    -2.07    -0.37     1.40     2.29     2.45
19780128     2.30     0.87     0.35    -0.94    -1.91    -2.44    -1.72    -0.07     1.25     2.22
19780202     2.56     2.39     2.09     0.87    -0.50    -1.98    -2.72    -1.86    -0.50     1.09
19780207    -0.28     1.59     1.96     2.41     2.21     1.21    -0.73    -2.11    -2.41    -1.93
19780212    -0.92    -0.14     0.17     0.65     0.96     1.03     0.53    -0.24    -0.77    -1.07
19780217     0.24     0.09     0.09    -0.07    -0.20    -0.27    -0.21    -0.05     0.10     0.22
19780222     0.41     0.71     0.73     0.59     0.30    -0.15    -0.63    -0.72    -0.53    -0.15
19780227    -0.62     0.65     0.95     1.45     1.55     1.15    -0.01    -1.07    -1.51    -1.47
19780304    -2.19    -0.70    -0.26     1.05     2.00     2.46     1.65    -0.02    -1.33    -2.24
19780309    -1.62    -2.06    -1.81    -1.24    -0.34     0.90     1.97     1.84     1.06    -0.12
19780314     0.79    -1.34    -1.66    -2.45    -2.54    -1.73     0.26     1.96     2.58     2.36
19780319     1.55    -0.07    -0.65    -1.55    -2.03    -1.92    -0.72     0.79     1.71     2.12
19780324     1.82     1.40     0.97     0.15    -0.69    -1.50    -1.68    -0.89     0.07     1.06
19780329     1.10     1.54     1.36     1.00     0.38    -0.54    -1.39    -1.39    -0.87    -0.04
19780403     0.25     0.24     0.32     0.12    -0.07    -0.25    -0.33    -0.22    -0.05     0.12
19780408     0.57     0.16     0.17    -0.26    -0.55    -0.69    -0.45     0.04     0.40     0.63
19780413     0.13     0.67     0.83     0.81     0.61     0.18    -0.46    -0.77    -0.74    -0.47
19780418    -0.86    -0.25    -0.07     0.43     0.79     0.95     0.62    -0.04    -0.55    -0.90
19780423    -0.19    -0.02     0.09     0.14     0.18     0.17     0.09    -0.04    -0.14    -0.21
19780428    -0.06     0.17     0.31     0.32     0.27     0.14    -0.10    -0.25    -0.28    -0.23
19780503    -1.33    -1.08    -1.02    -0.26     0.49     1.19     1.40     0.79     0.03    -0.75
19780508    -2.00    -2.52    -2.35    -1.53    -0.36     1.18     2.46     2.23     1.24    -0.21
19780513     0.47    -1.96    -2.35    -3.04    -2.88    -1.68     0.78     2.59     3.06     2.53
19780518     2.43     0.73     0.12    -1.32    -2.32    -2.75    -1.73     0.18     1.61     2.55
19780523     1.74     1.67     1.42     0.61    -0.30    -1.31    -1.83    -1.28    -0.37     0.71
19780528     0.41     1.10     1.00     1.02     0.75     0.13    -0.72    -1.09    -0.98    -0.52
19780602    -0.95    -0.55    -0.42     0.12     0.59     0.94     0.85     0.28    -0.26    -0.74
19780607    -0.88    -1.39    -1.26    -1.01    -0.49     0.32     1.18     1.30     0.91     0.19
19780612     0.15    -0.69    -0.76    -1.04    -1.01    -0.60     0.25     0.90     1.07     0.88
19780617     0.86     0.00    -0.22    -0.78    -1.10    -1.11    -0.49     0.36     0.89     1.15
19780622     0.40     0.08    -0.02    -0.28    -0.44    -0.49    -0.27     0.08     0.32     0.46
19780627    -0.48    -0.73    -0.70    -0.53    -0.23     0.22     0.66     0.69     0.47     0.08
19780702    -0.44    -0.98    -1.01    -0.89    -0.55     0.05     0.79     1.02     0.84     0.37
19780707     0.47     0.29     0.13    -0.03    -0.21    -0.38    -0.39    -0.18     0.06     0.31
19780712    -0.47     0.53     0.62     1.11     1.24     0.94     0.02    -0.84    -1.20    -1.16
19780717    -0.80    -0.48    -0.24     0.14     0.47     0.74     0.68     0.24    -0.19    -0.59
19780722    -0.74    -0.92    -0.81    -0.52    -0.11     0.43     0.87     0.78     0.42    -0.10
19780727    -0.07    -1.24    -1.33    -1.55    -1.34    -0.61     0.67     1.46     1.55     1.12
19780801     1.12    -0.45    -0.70    -1.57    -1.96    -1.73    -0.46     0.97     1.73     1.93
19780806     0.77     0.04    -0.25    -0.67    -0.92    -0.92    -0.41     0.29     0.75     0.97
19780811     0.67    -0.61    -0.79    -1.41    -1.59    -1.23    -0.08     1.03     1.52     1.51
19780816     1.07     0.39     0.15    -0.48    -0.95    -1.19    -0.82    -0.02     0.61     1.06
19780821     0.35    -0.54    -0.60    -1.01    -1.10    -0.80     0.04     0.80     1.10     1.02
19780826     0.20    -0.31    -0.31    -0.58    -0.65    -0.50    -0.02     0.42     0.61     0.58
19780831    -0.18     0.03     0.12     0.22     0.27     0.23     0.06    -0.13    -0.23    -0.27
19780905    -0.22    -0.03     0.09     0.17     0.22     0.21     0.08    -0.09    -0.19    -0.26
19780910     0.15    -0.34    -0.50    -0.63    -0.60    -0.37     0.13     0.50     0.61     0.53
19780915     0.81     0.03    -0.15    -0.71    -1.03    -1.06    -0.49     0.32     0.83     1.08
19780920     0.24    -0.77    -0.89    -1.22    -1.19    -0.74     0.25     1.02     1.25     1.06
19780925     0.88    -0.25    -0.52    -1.14    -1.42    -1.27    -0.36     0.68     1.25     1.43
19780930     1.61     1.06     0.78    -0.06    -0.83    -1.46    -1.44    -0.60     0.29     1.12
19781005     1.93     1.77     1.46     0.58    -0.42    -1.50    -2.01    -1.35    -0.33     0.84
19781010     0.89     0.75     0.65     0.18    -0.30    -0.77    -0.92    -0.55    -0.05     0.47
19781015     0.21     0.92     1.03     1.06     0.80     0.22    -0.63    -1.06    -1.00    -0.62
19781020    -1.29    -0.65    -0.41     0.31     0.90     1.30     1.06     0.23    -0.50    -1.09
19781025    -1.42    -1.81    -1.64    -1.11    -0.31     0.79     1.73     1.61     0.92    -0.12
19781030    -0.01    -0.98    -1.04    -1.26    -1.12    -0.55     0.50     1.18     1.28     0.95
19781104     1.14     0.58     0.40    -0.26    -0.79    -1.17    -0.97    -0.25     0.42     0.96
19781109     0.01     0.22     0.22     0.27     0.24     0.11    -0.11    -0.25    -0.26    -0.19
19781114     0.01    -0.36    -0.37    -0.49    -0.46    -0.25     0.17     0.47     0.52     0.39
19781119     0.97     0.18     0.02    -0.64    -1.06    -1.19    -0.68     0.18     0.78     1.13
19781124     0.95     1.16     1.16     0.71     0.12    -0.63    -1.19    -1.02    -0.52     0.16
19781129     0.80     1.50     1.71     1.35     0.70    -0.29    -1.36    -1.56    -1.15    -0.37
19781204    -0.59     0.77     0.95     1.53     1.64     1.20    -0.06    -1.18    -1.63    -1.55
19781209    -1.47    -0.82    -0.59     0.21     0.90     1.42     1.27     0.40    -0.44    -1.16
19781214    -0.88    -1.50    -1.45    -1.17    -0.59     0.32     1.30     1.46     1.06     0.29
19781219    -0.52    -0.98    -1.01    -0.84    -0.47     0.15     0.84     1.00     0.76     0.26
19781224     0.18    -0.92    -1.05    -1.39    -1.32    -0.76     0.38     1.21     1.41     1.15
19781229     1.96     0.81     0.39    -0.73    -1.57    -2.05    -1.50    -0.14     0.98     1.83
19790103     0.87     1.27     1.33     0.93     0.34    -0.47    -1.22    -1.21    -0.76    -0.06
19790108    -0.08     0.64     1.00     1.01     0.81     0.33    -0.44    -0.88    -0.93    -0.70
19790113     0.62     1.66     1.90     1.71     1.11     0.04    -1.33    -1.83    -1.56    -0.78
19790118     0.73     2.02     2.28     2.09     1.39     0.10    -1.58    -2.22    -1.92    -0.98
19790123    -1.51    -0.27     0.28     1.10     1.62     1.74     0.91    -0.36    -1.23    -1.74
19790128    -1.04    -0.66    -0.38     0.12     0.58     0.96     0.92     0.38    -0.19    -0.72
19790202    -0.40    -0.35    -0.17    -0.04     0.13     0.32     0.39     0.26     0.06    -0.17
19790207    -0.89    -0.99    -0.78    -0.44     0.01     0.60     1.01     0.83     0.39    -0.21
